age,sex,marker,mean,median,std,hdi_lower,hdi_upper
70.1,F,alp,1.0043598290108429,1.0016297123680216,0.006501988777479902,1.000000008803993,1.0175580228094423
70.6,F,alp,1.0035093068759404,1.0011888329653735,0.005548335150225178,1.0000000027939626,1.014740472611723
71.1,F,alp,1.002814389290489,1.0008555075343364,0.004712381005813491,1.0000000008853365,1.0120779734037917
71.6,F,alp,1.0022490373024613,1.000594382553663,0.003984283149909083,1.0000000002946843,1.0098252657438418
72.1,F,alp,1.0017909890238141,1.0004130650331513,0.0033539288420932653,1.0000000001126292,1.0081243101397384
72.6,F,alp,1.0014213559087666,1.0002851060533628,0.002811284063286163,1.0000000000537939,1.0064218046586912
73.1,F,alp,1.0011242228365456,1.0001983618315164,0.002346650605948571,1.000000000031891,1.0050652451597657
73.6,F,alp,1.0008862659756381,1.0001353684989847,0.00195084681518402,1.000000000021582,1.0040282408288783
74.1,F,alp,1.000696397326743,1.0000898858716778,0.0016153259111748195,1.0000000000113562,1.0032183118961326
74.6,F,alp,1.0005454409673942,1.00005919619937,0.0013322444390648591,1.0000000000052427,1.002585227465541
75.1,F,alp,1.000425843159601,1.000038499243939,0.0010944918170618233,1.0000000000030158,1.0020801734217573
75.6,F,alp,1.0003314164440225,1.0000247468551606,0.0008956903656577717,1.000000000001988,1.0016639355207462
76.1,F,alp,1.000257116458054,1.0000156950919563,0.0007301736965297915,1.000000000001392,1.001323151613072
76.6,F,alp,1.000198849331022,1.0000098138508506,0.0005929499632467722,1.000000000000996,1.001045969199561
77.1,F,alp,1.0001533070027002,1.0000059279080291,0.00047965524307603223,1.0000000000007174,1.0008219858652865
77.6,F,alp,1.0001178275796963,1.0000036978566775,0.0003865012319140578,1.0000000000005174,1.0006331014259053
78.1,F,alp,1.0000902778073124,1.000002252340041,0.0003102204890649975,1.0000000000003275,1.0004818657763943
78.6,F,alp,1.0000689548292623,1.0000013442483229,0.0002480116596506788,1.0000000000001301,1.0003587743413482
79.1,F,alp,1.0000525045863837,1.0000007854578548,0.00019748642310613989,1.0000000000000608,1.000262574938404
79.6,F,alp,1.0000398544326965,1.0000004473094952,0.00015661935837721946,1.0000000000000335,1.0001907827888081
80.1,F,alp,1.0000301577967776,1.00000025667439,0.00012370147023249846,1.0000000000000158,1.0001376192344622
80.6,F,alp,1.0000227489705609,1.000000147626372,9.729777488398193e-05,1.0000000000000089,1.0001005588978853
81.1,F,alp,1.0000171063540337,1.0000000834072993,7.620908382940906e-05,1.0000000000000049,1.0000738959276863
81.6,F,alp,1.0000128227150629,1.000000046896567,5.943793871086647e-05,1.0000000000000022,1.0000539610958306
82.1,F,alp,1.0000095812346017,1.0000000263623,4.615852335018723e-05,1.0000000000000013,1.000039156265986
82.6,F,alp,1.000007136296536,1.0000000146754124,3.5690299128187605e-05,1.0000000000000007,1.0000282346256257
83.1,F,alp,1.0000052981481447,1.0000000081599583,2.7475065091054224e-05,1.0000000000000004,1.0000198837683738
83.6,F,alp,1.000003920702283,1.000000004501044,2.105712490528086e-05,1.0000000000000004,1.0000143660527667
84.1,F,alp,1.0000028918774353,1.0000000024011855,1.6066241207150043e-05,1.0000000000000002,1.0000101926204061
84.6,F,alp,1.0000021259782113,1.000000001276895,1.2203067945737852e-05,1.0000000000000002,1.0000071665086845
85.1,F,alp,1.000001557709001,1.000000000674078,9.226768513134366e-06,1.0000000000000002,1.0000050071392206
0.1,M,alp,9.961097904296398,9.947923124757956,0.3048891797445388,9.38432752133299,10.504400416335319
0.6,M,alp,9.84855758546635,9.842428817191433,0.2834837185218908,9.317366425298028,10.356690703586393
1.1,M,alp,9.663675838854008,9.66038986434196,0.2580321014564196,9.164476342116636,10.115949661366233
1.6,M,alp,9.429445207441454,9.421138276454364,0.2337600147361361,8.958650316706935,9.837965553484757
2.1,M,alp,9.158044073380134,9.157533040405244,0.21300031551634824,8.714588781692743,9.51814006318661
2.6,M,alp,8.85822083252179,8.853442581142442,0.19690837731459207,8.483319586881809,9.221453392529828
3.1,M,alp,8.536999872689256,8.53506696208104,0.1857325200041222,8.143223437925545,8.845328668778976
3.6,M,alp,8.200366649806236,8.202622093314973,0.17893606759438177,7.862793912610944,8.525502763797382
4.1,M,alp,7.853662127179844,7.852279074196725,0.1754117919858845,7.5023855922110005,8.147970342627742
4.6,M,alp,7.501922483125265,7.502625744421721,0.17377391186062358,7.171973533788661,7.812263089672186
5.1,M,alp,7.150290565970355,7.152041647078786,0.17260449343879797,6.810753573600312,7.449579162572759
5.6,M,alp,6.804596355491897,6.805125274171997,0.17058833429551992,6.472850299251095,7.09995530588923
6.1,M,alp,6.472181801062223,6.471971302085385,0.16659554204788068,6.170075365720589,6.781384734219857
6.6,M,alp,6.162993255043362,6.163848060797321,0.15987131019283832,5.885369780081614,6.471149055388368
7.1,M,alp,5.890852750007483,5.888421831055389,0.15056857026346843,5.639596643318557,6.193037952936273
7.6,M,alp,5.674632562405363,5.673832253510707,0.14087386702109944,5.439926050919855,5.958926999560871
8.1,M,alp,5.538815917145018,5.540563104986414,0.1364038738263167,5.293322223355278,5.793654570529319
8.6,M,alp,5.512707862830951,5.503899295409225,0.14502722470490506,5.261853472710127,5.777002425091298
9.1,M,alp,5.627504428299877,5.618161269394289,0.16993229460915363,5.330254461329025,5.943980490195352
9.6,M,alp,5.910702970706888,5.901715150954942,0.20523795951959295,5.553080677221137,6.308669705921222
10.1,M,alp,6.378051986857576,6.369047929080358,0.24066100355017997,5.928851266105547,6.8254028670633256
10.6,M,alp,7.024331817378536,7.023874635555147,0.2669811040637316,6.53262914101936,7.531807567843511
11.1,M,alp,7.815412441104442,7.810423589135967,0.27950012847809397,7.324572643292483,8.38319051279357
11.6,M,alp,8.684716654436079,8.6906300424588,0.28082661679961,8.19162377279948,9.238712011113584
12.1,M,alp,9.536872398942613,9.53912725297738,0.2813359224157316,9.029584440646858,10.087897254159621
12.6,M,alp,10.259706136099158,10.271641290486977,0.29275802493215564,9.655354928472741,10.75726906239937
13.1,M,alp,10.743111958129843,10.748913015933638,0.3163022078996557,10.151403911217947,11.305933552617573
13.6,M,alp,10.900621891291582,10.902418289953616,0.3403708622238977,10.205631218524225,11.489865954051988
14.1,M,alp,10.68787110774745,10.68449281510819,0.3510733059104594,10.04492648675849,11.369633927608616
14.6,M,alp,10.112485186275393,10.105956500901389,0.34131434996658905,9.509608503527307,10.786950409215429
15.1,M,alp,9.232310752732106,9.217139697179196,0.3130791774711636,8.641777506976744,9.821166155385322
15.6,M,alp,8.142525173510256,8.140308627693436,0.275069373658872,7.6124191558982455,8.626945548455947
16.1,M,alp,6.955570602082468,6.955255318114054,0.23763807090823266,6.508684133600746,7.364184851086442
16.6,M,alp,5.779732248366126,5.785571774332761,0.20699097285575435,5.352434999136642,6.105001850258763
17.1,M,alp,4.70191223596898,4.6974893405045215,0.1824473028263193,4.34346774098829,4.993642458299352
17.6,M,alp,3.7780835150064163,3.7696597937728513,0.15952996496101002,3.451808788669858,4.032971630127226
18.1,M,alp,3.0320764936170264,3.025723711235708,0.13505316671259257,2.7657005266078776,3.267348079963304
18.6,M,alp,2.4609137355491946,2.45802269684555,0.10903459359439696,2.2600558961659662,2.6679219009138717
19.1,M,alp,2.043625435283507,2.038064239201054,0.0836186703118748,1.8880416939053004,2.201447698836101
19.6,M,alp,1.7504820636116878,1.7483855741544407,0.06136998160040793,1.643433684273606,1.8754687604213043
20.1,M,alp,1.5504856034720451,1.5494396538773816,0.04415178579631957,1.4735675630130962,1.63780298843714
20.6,M,alp,1.4161747250268046,1.4162570066955724,0.03264316205336179,1.357728225113773,1.4779594170375177
21.1,M,alp,1.325824081348508,1.3255093728605996,0.026152966264280528,1.2790226455909959,1.3754991228764386
21.6,M,alp,1.2637079911338038,1.2634023277820365,0.02290410266105203,1.2231086515241285,1.3075143999216687
22.1,M,alp,1.2192553064204996,1.218364900972667,0.021105603277067567,1.1806318251184307,1.2591456595982016
22.6,M,alp,1.185790210979225,1.1844560274945666,0.019736784285498625,1.1510121915218812,1.2263570557146846
23.1,M,alp,1.1593060967075173,1.1580193038243674,0.018431440915382843,1.126188829749546,1.1975695309286956
23.6,M,alp,1.1374835978045965,1.136458472364875,0.017120455231631075,1.101515100502264,1.168197890782184
24.1,M,alp,1.1189991682397071,1.1181721341545097,0.015821593286732234,1.0860695521602803,1.147646248114839
24.6,M,alp,1.103084114826406,1.1024037477796682,0.014561855635143416,1.0723381483476635,1.12904154903212
25.1,M,alp,1.0892655725913358,1.088640037468065,0.013359005925843206,1.0615708092373086,1.1131600626723903
25.6,M,alp,1.0772247764082585,1.0765952796183038,0.012221727078544088,1.0522634044662351,1.0996430506522337
26.1,M,alp,1.0667241268148413,1.0659885186759794,0.011153116495431352,1.0434868808094189,1.0865136142747869
26.6,M,alp,1.0575714925217743,1.0568948596613026,0.010153392535202968,1.0364333292554204,1.0751948883014724
27.1,M,alp,1.0496032935974058,1.0490123191625187,0.009221397694546633,1.0304528007061358,1.0656131850970323
27.6,M,alp,1.04267647828382,1.0421451295627806,0.00835530795828162,1.0253827409667378,1.0573823415029868
28.1,M,alp,1.0366644860296317,1.0361548454004996,0.007552935512549261,1.020916851478561,1.050127614368035
28.6,M,alp,1.031454922863777,1.0310147997634376,0.006811853342434969,1.0171879369383607,1.043741071034074
29.1,M,alp,1.026947960419026,1.0265316192859093,0.006129452349435894,1.0154309261959222,1.0392299879717388
29.6,M,alp,1.023055053702816,1.0226699473274374,0.005502977558260411,1.0136834430347088,1.034932418608611
30.1,M,alp,1.0196978208907992,1.0193434791914413,0.00492956025124731,1.008963910799588,1.0278907650249618
