age,sex,body_weight,r_form,r_resorp,r_to,FBFR,TFBFR,CFBFR,f_form,f_resorp,net_accretion,k3,k4,Ki
16.6,M,63.76901509804829,2.7507577991191527,2.148946672439293,1.0,0.2750757799119153,0.8939962847137247,0.12034565371146293,0.4613364940887618,0.36040523966316346,0.10093125442559836,0.36310002948372816,0.004297893344878586,0.06196844517503525
17.1,M,65.50941124899968,1.9649791173601816,1.6332756940078719,1.0,0.19649791173601816,0.638618213142059,0.08596783638450795,0.33854576399944114,0.28139666359022103,0.05714910040922011,0.259377243491544,0.003266551388015744,0.05314108449099777
17.6,M,66.99372794678838,1.482392289196343,1.316575534722395,1.0,0.1482392289196343,0.4817774939888115,0.06485466265234001,0.2611878924773604,0.23197205740177057,0.029215835075589836,0.1956757821739173,0.00263315106944479,0.045719065741278424
18.1,M,68.2448936368547,1.2187133656810243,1.1435344879562468,1.0,0.12187133656810244,0.3960818438463329,0.05331870974854481,0.2187396353586997,0.20524622438670728,0.013493410971992414,0.1608701642698952,0.002287068975912494,0.04071007884348009
18.6,M,69.2897890382556,1.0899388152156746,1.059024985383411,1.0,0.10899388152156747,0.35423011494509427,0.04768482316568576,0.1986218884014679,0.19298839487569525,0.005633493525772665,0.14387192360846907,0.0021180499707668223,0.03794846817255071
19.1,M,70.1563091831433,1.0335448780478036,1.0220156375148246,1.0,0.10335448780478036,0.3359020853655362,0.045217588414591406,0.1907004952699065,0.18857322249595804,0.0021272727739484742,0.1364279239023101,0.002044031275029649,0.03666413825514693
19.6,M,70.87134173475268,1.0113485075588056,1.0074487018003013,1.0,0.10113485075588056,0.3286882649566118,0.04424649720569774,0.1885068955703077,0.18778000442312312,0.0007268911471845774,0.13349800299776235,0.002014897403600603,0.03614523754759405
20.1,M,71.45954646755445,1.0034830224908318,1.002286587498482,1.0,0.10034830224908318,0.32613198230952034,0.043902382233973886,0.18859320160547507,0.18836834527939597,0.00022485632607910366,0.1324597589687898,0.0020045731749969643,0.03595949167149392
20.6,M,71.94275202172352,1.0009702605611819,1.0006373198792988,1.0,0.1000970260561182,0.3253153346823841,0.0437924488995517,0.18939302027245022,0.18933002475320468,6.299551924554558e-05,0.132128074394076,0.0020012746397585976,0.03589994364677469
21.1,M,72.33978242347763,1.000245695351698,1.0001616402127818,1.0,0.1000245695351698,0.32507985098930187,0.04376074917163679,0.19030037220573384,0.190284380410622,1.5991795111830465e-05,0.13203243178642415,0.0020003232804255634,0.035882753916793894
21.6,M,72.66655473773531,1.0000568497349762,1.0000375841075553,1.0,0.10000568497349763,0.3250184761638673,0.04375248717590521,0.19112390368585927,0.19112022177325536,3.6819126039144834e-06,0.13200750416501686,0.0020000751682151107,0.03587827232055327
22.1,M,72.93632824442787,1.0000122445630073,1.0000082253301366,1.0,0.10000122445630073,0.3250039794829774,0.04375053569963157,0.19182489206606276,0.19182412108659144,7.709794713206541e-07,0.13200161628231696,0.0020000164506602733,0.03587721368774239
22.6,M,73.16002250154109,1.0000026223540859,1.0000018512693183,1.0,0.10000026223540859,0.3250008522650779,0.04375011472799126,0.1924113637484558,0.19241121538337316,1.4836508263615933e-07,0.13200034615073936,0.0020000037025386364,0.03587698531572661
23.1,M,73.34655155301249,1.0000006731939712,1.0000005312871632,1.0,0.10000006731939713,0.32500021878804064,0.04375002945223624,0.19290156044450296,0.19290153307047667,2.7374026295712284e-08,0.13200008886160422,0.0020000010625743263,0.03587693905448125
23.6,M,73.50314344944923,1.0000002638125864,1.0000002345841004,1.0,0.10000002638125866,0.3250000857390906,0.04375001154180065,0.1933133182705245,0.19331331262027035,5.650254153444223e-09,0.13200003482326142,0.002000000469168201,0.03587692933824108
24.1,M,73.63562916848656,1.0000001495835367,1.0000001403633159,1.0,0.10000001495835367,0.32500004861464943,0.043750006544279726,0.19366173368172238,0.19366173189611868,1.785603692683324e-09,0.13200001974502684,0.0020000002807266317,0.035876926627133245
24.6,M,73.74869454356971,1.0000000981716284,1.0000000934008884,1.0,0.10000000981716284,0.32500003190577925,0.04375000429500874,0.19395908569086576,0.19395908476553747,9.25328286216498e-10,0.13200001295865496,0.0020000001868017768,0.03587692540692495
25.1,M,73.8460944883339,1.0000000668184792,1.000000063745646,1.0,0.10000000668184793,0.3250000217160057,0.04375000292330846,0.19421524148148436,0.19421524088469339,5.967909777471192e-10,0.13200000882003926,0.0020000001274912923,0.03587692466279045
25.6,M,73.93083190616933,1.000000045810984,1.000000043724933,1.0,0.1000000045810984,0.3250000148885698,0.04375000200423054,0.19443809682062543,0.19443809641501772,4.0560771408237883e-10,0.13200000604704987,0.002000000087449866,0.03587692416419932
26.1,M,74.00530513962963,1.000000031448416,1.0000000300185876,1.0,0.10000000314484161,0.32500001022073527,0.0437500013758682,0.19463395863815544,0.19463395835986227,2.7829316628924516e-10,0.13200000415119093,0.0020000000600371754,0.035876923823318654
26.6,M,74.07142829350705,1.0000000215931404,1.0000000206116035,1.0,0.10000000215931404,0.32500000701777065,0.04375000094469989,0.19480786061843694,0.19480786042722587,1.9121107475150723e-10,0.13200000285029453,0.002000000041223207,0.0358769235894139
27.1,M,74.13072868885311,1.00000001482673,1.0000000141527854,1.0,0.10000000148267302,0.3250000048186873,0.043750000648669435,0.19496381934235954,0.19496381921096473,1.3139481169766043e-10,0.13200000195712838,0.0020000000283055706,0.035876923428820165
27.6,M,74.18442534498583,1.0000000101806747,1.000000009717917,1.0,0.10000000101806748,0.3250000033087193,0.043750000445404516,0.19510504064361364,0.19510504055332728,9.028636172025983e-11,0.13200000134384907,0.002000000019435834,0.03587692331855085
28.1,M,74.23349190721709,1.0000000069904953,1.0000000066727455,1.0,0.10000000069904953,0.325000002271911,0.04375000030583417,0.1952340850807639,0.19523408501872827,6.20356266356481e-11,0.1320000009227454,0.002000000013345491,0.03587692324283524
28.6,M,74.27870693424802,1.000000004799979,1.000000004581798,1.0,0.10000000047999791,0.3250000015599932,0.043750000209999085,0.1953530001747626,0.19535300013214027,4.2622322338203844e-11,0.13200000063359724,0.002000000009163596,0.03587692319084561
29.1,M,74.32069398146147,1.000000003295875,1.0000000031460625,1.0,0.1000000003295875,0.32500000107115934,0.04375000014419452,0.19546342581546666,0.19546342578618384,2.9282826163878894e-11,0.1320000004350555,0.0020000000062921253,0.035876923155147254
